title,keyword,rate_score,StarRate_ParticipantCount
이 결혼은 어차피 망하게 되어 있다,#별점1000개이상#2만원초과#판타지물#서양풍#정략결혼#절륜남#왕족/귀족#회귀/타임슬립#선결혼후연애#집착남#대형견남#계략녀#철벽녀#까칠녀#냉정녀#무심녀#평점4점이상#리뷰100개이상#단행본,4.6,5305
희란국연가,#별점1000개이상#5000~1만원#가상시대물#판타지물#초월적존재#정략결혼#상처남#나쁜남자#순정남#후회남#상처녀#왕족/귀족#애잔물#짝사랑남#다정녀#짝사랑녀#순정녀#외유내강#피폐물#이야기중심#신화물#평점4점이상#리뷰100개이상#2015년출간#단행본,4.6,11378
반쪽,#별점1000개이상#5000~1만원#궁정로맨스#가상시대물#동양풍#신파#전생/환생#동정남#절륜남#계략남#상처녀#능글남#왕족/귀족#금단의관계#집착남#냉정남#다정녀#동정녀#무심녀#외유내강#더티토크#이야기중심#평점4점이상#리뷰100개이상#고수위#단행본,4.3,8706
악역의 엔딩은 죽음뿐,#별점1000개이상#2만원초과#가상시대물#판타지물#서양풍#까칠남#능글남#왕족/귀족#차원이동#영혼체인지/빙의#외국인/혼혈#능력남#사이다남#직진남#오만남#사이다녀#직진녀#계략녀#철벽녀#까칠녀#냉정녀#무심녀#도도녀#여주중심#츤데레남#평점4점이상#리뷰100개이상#단행본,4.5,6870
이섭의 연애,#별점1000개이상#5000~1만원#현대물#로맨틱코미디#사내연애#첫사랑#까칠남#순정남#동정남#다정남#절륜남#재벌남#라이벌/앙숙#비밀연애#갑을관계#뇌섹남#능력남#직진남#뇌섹녀#능력녀#순정녀#동정녀#츤데레남#평점4점이상#리뷰100개이상#단행본,4.6,6935
교접점 (Lust),#별점1000개이상#3000~5000원#현대물#나쁜남자#절륜남#절륜녀#상처녀#오해#카리스마남#조직/암흑가#소유욕/독점욕/질투#운명적사랑#능력남#유혹남#집착남#나쁜여자#더티토크#평점4점이상#리뷰100개이상#고수위#단행본,4.1,13171
"쏘 롱, 써머 (so long, summer)",#별점1000개이상#5000~1만원#현대물#사내연애#삼각관계#속도위반#시월드#신데렐라#신파#나쁜남자#동정남#후회남#상처녀#재벌남#애잔물#갑을관계#계약연애/결혼#소유욕/독점욕/질투#집착남#짝사랑녀#순정녀#철벽녀#외유내강#피폐물#평점4점이상#리뷰100개이상#단행본,4.4,11157
디 포 더티 (D For Dirty),#별점1000개이상#3000~5000원#현대물#사내연애#첫사랑#재회물#순정남#동정남#연하남#절륜남#계략남#재벌남#비밀연애#갑을관계#신분차이#소유욕/독점욕/질투#집착남#짝사랑남#평범녀#능력녀#순정녀#동정녀#더티토크#츤데레남#평점4점이상#리뷰100개이상#단행본,4.2,10330
폭군론,#별점1000개이상#5000~1만원#현대물#사내연애#까칠남#나쁜남자#절륜남#재벌남#소유욕/독점욕/질투#운명적사랑#능력남#직진남#집착남#뇌섹녀#능력녀#다정녀#더티토크#츤데레남#평점4점이상#리뷰100개이상#고수위#단행본,4.0,8225
직장내 불순교제,#별점1000개이상#5000~1만원#현대물#동거#사내연애#동정남#다정남#절륜남#순진녀#상처녀#오해#재벌남#비밀연애#계약연애/결혼#소유욕/독점욕/질투#능력남#직진남#도도녀#더티토크#평점4점이상#리뷰100개이상#단행본,4.4,6770
블랙 스톰(Black Storm),#별점1000개이상#1만원~2만원#현대물#복수#첫사랑#재회물#재벌남#외국인/혼혈#군대물#권선징악#운명적사랑#능력남#집착남#냉정남#능력녀#다정녀#걸크러시#이야기중심#평점4점이상#리뷰100개이상#단행본,4.5,3645
은의정원,#별점1000개이상#3000~5000원#현대물#원나잇#연하남#재벌남#달달물#몸정>맘정#직진남#다정녀#평점4점이상#리뷰100개이상#단행본,4.2,7057
투 미닛 워닝(Two-Minute Warning),#별점1000개이상#3000~5000원#현대물#원나잇#연하남#절륜남#재벌남#외국인/혼혈#스포츠물#몸정>맘정#운명적사랑#직진남#유혹남#능력녀#무심녀#외유내강#평점4점이상#리뷰100개이상#고수위#단행본,4.1,7620
절대역,#별점1000개이상#5000~1만원#현대물#동거#맞선#속도위반#원나잇#까칠남#나쁜남자#절륜남#상처녀#카리스마남#조직/암흑가#몸정>맘정#소유욕/독점욕/질투#능력남#냉정남#오만남#까칠녀#무심녀#더티토크#평점4점이상#리뷰100개이상#고수위#단행본,4.4,9870
절벽에 뜬 달,#별점1000개이상#3000~5000원#가상시대물#동양풍#나이차커플#복수#재회물#상처남#다정남#순진녀#상처녀#능글남#왕족/귀족#애잔물#권선징악#신분차이#금단의관계#평범녀#동정녀#외유내강#털털녀#이야기중심#평점4점이상#리뷰100개이상#단행본,4.5,7607
독주,#별점1000개이상#3000~5000원#궁정로맨스#가상시대물#동양풍#복수#신파#동정남#절륜남#계략남#상처녀#능글남#왕족/귀족#재벌남#신분차이#운명적사랑#집착남#다정녀#순정녀#동정녀#더티토크#이야기중심#츤데레남#평점4점이상#리뷰100개이상#고수위#단행본,4.3,5397
언아더 헤븐(Another heaven),#별점1000개이상#1만원~2만원#판타지물#서양풍#첫사랑#신파#초월적존재#까칠남#상처남#나쁜남자#순정남#절륜남#순진녀#카리스마남#애잔물#초능력#차원이동#외국인/혼혈#권선징악#소유욕/독점욕/질투#운명적사랑#능력남#사이다남#직진남#집착남#냉정남#오만남#대형견남#능력녀#순정녀#동정녀#외유내강#힐링물#성장물#이야기중심#조신남#츤데레남#평점4점이상#리뷰100개이상#단행본,4.6,7106
<규장각 각신들의 나날> 세트,#별점1000개이상#5000~1만원#실존역사물#동양풍#남장여자#로맨틱코미디#친구>연인#순정남#동정남#다정남#상처녀#달달물#비밀연애#능력남#능력녀#외유내강#털털녀#이야기중심#평점4점이상#리뷰100개이상#2013년이전#단행본,4.8,2540
앱설루트 (Absolute),#별점1000개이상#3000~5000원#현대물#기억상실#상처남#순정남#계략남#상처녀#비밀연애#집착남#추리/미스터리/스릴러#평점4점이상#리뷰100개이상#2013년이전#단행본,4.3,3106
훼손,#별점1000개이상#5000~1만원#현대물#재회물#후회남#절륜남#재벌남#전문직#몸정>맘정#소유욕/독점욕/질투#직진남#집착남#능력녀#무심녀#이야기중심#평점4점이상#리뷰100개이상#고수위#단행본,4.3,6567
마찰열,#별점1000개이상#5000~1만원#현대물#까칠남#나쁜남자#바람둥이#절륜남#상처녀#재벌남#몸정>맘정#소유욕/독점욕/질투#집착남#냉정남#짝사랑녀#무심녀#더티토크#이야기중심#츤데레남#평점4점이상#리뷰100개이상#고수위#단행본,4.1,6105
"선생님, 여자 친구 예쁘네요",#별점1000개이상#3000~5000원#현대물#동정남#다정남#절륜남#계략남#순진녀#상처녀#몸정>맘정#소유욕/독점욕/질투#뇌섹남#능력남#사이다남#유혹남#집착남#냉정남#존댓말남#철벽녀#동정녀#더티토크#평점4점이상#리뷰100개이상#고수위#단행본,4.0,6416
"공작님, 아프니까 살살",#별점500개이상#5000~1만원#가상시대물#서양풍#첫사랑#정략결혼#까칠남#절륜남#능글남#왕족/귀족#재벌남#달달물#선결혼후연애#몸정>맘정#소유욕/독점욕/질투#능력남#평범녀#외유내강#리뷰100개이상#고수위#단행본,3.9,778
결혼시차,#별점1000개이상#5000~1만원#현대물#첫사랑#시월드#신파#정략결혼#나쁜남자#동정남#후회남#계략남#상처녀#오해#카리스마남#재벌남#권선징악#선결혼후연애#소유욕/독점욕/질투#능력남#직진남#냉정남#무심남#짝사랑녀#순정녀#철벽녀#동정녀#무심녀#외유내강#이야기중심#평점4점이상#리뷰100개이상#단행본,4.1,4753
1번국도,#별점1000개이상#3000~5000원#현대물#로맨틱코미디#첫사랑#재회물#절륜남#능글남#달달물#능력남#대형견남#무심녀#외유내강#평점4점이상#리뷰100개이상#단행본,4.5,6515
임신 계약,#별점1000개이상#3000~5000원#현대물#동거#첫사랑#신파#재회물#까칠남#나쁜남자#후회남#상처녀#재벌남#갑을관계#능력남#평범녀#순정녀#피폐물#조신남#츤데레남#평점4점이상#리뷰100개이상#썸딜#고수위#단행본,4.0,6866
