hkrate	review
0	잘 읽었습니다 :)
0	좋아하는 작가님인데 이건 별루네요 작가님 특유의 감정선표현도 부족한거같고 뭐랄까 좀지루했어요ㅠㅠ
-1	재미없어요 시시시시시시시시해
1	재밌어요. 대여해놓고  왠지 미루다미루다 봤는데..왠걸 재밌어요. 근데 댓글들처럼 복수가아숩네요. 세미오빠나 남주형이나 더질척였음 재밌었을듯 했어요
1	짧은게 조금 아쉽네요. 민재의 복수가 좀 더 세세하게 나왔어도 되었을거 같고 회장님(아버지)는 회사가 공중분해 될때 손놓고 있지는 않았을거 같은데 그부분이 조금 아숩네요.
1	처음 너무 불친절한 남주때문에 읽기 불편했는데 남주 시점에 몰입하면서 마지막엔 감동과 여운으로 앞부분 다시 읽었어요 선영이 민재 영원히 사랑해
1	선영,민재 고생많았다. 행복해라~~~~
1	제 취향인데 짧아서 아쉽네요
0	잔잔합니다. 작가님 필력좋으셔서 막힘없이 술술읽히고 좋았어요.
1	조금 부자연스러운 곳도 있었으나 전반적으로는 가독성이 좋아요. 이벤트로 잘 읽었어요. 앞으로는 두사람다 행복하고 편안하길~~~^^
0	재미가 없는건 아닌데...애매하게 안읽히네요 제 취향은 아닌가봐요 3.5 정도요
1	괜찮았어요^^ 복수가 너무 짧게 느껴진거빼면~
1	딱좋았음 작가님 다른 글도 찾아봐야겠는걸요.  개연성좋고. 감사합니다
1	작가님 정말 글 잘쓰시는것같아요. 저 슬픈거싫은데 ㅠ 기도하는 글에서 눈물 흘렸네요. 넘 마음이 예뻐서요ㅠ. 단순히 로맨스는 아니고 어두운 부분이 있어서 읽기싫을법한데 술술 읽히는건 작가님의 능력이신것같아요. 다작해주세요^^
1	1권이라 자기전에 금방 읽기 좋았고 섹텐도 좋았음
1	짧지만^^ 재미 있어요~~
1	잘봤어요 작가님 작품들은 뭔가 짠하게 하면서도 기분좋게하는 매력 있는것 같아요
1	짧은 내용인데 재미있네요.
0	기대치가 너무 컸나봐요
1	뻔하긴 한데 볼만했어요 쏘쏘~
1	민재랑선영이가 행복해져서 다행이네요~~^^
1	마음이 따뜻한 결말이네요
1	주인공들 사연이 맘이 많이 아팠는데 참 다행이에요. 솔직히 큰 기대없이 우연히 결제하게 된 책이였는데 재미있게읽었어요,좋았어요
1	뻔한 내용이긴 한데 애들이 워낙 예뻐야죠ㅠㅠ 벌 받을 놈들과의 갈등이 좀 허무하게 풀린 감이 있지만 그래도 남주여주 너무 예뻐가지구ㅠㅠ 잘 봤어요 작가님 ㅠㅠ 진짜 짱
0	나는재미없었음. 나중엔 흐린눈으로 본듯..
1	생각보다 더 재밌었어요. 전체적으론 뻔한 내용일지 몰라도 작가님의 필력과 작은 디테일들이 잔잔한 감동을 줬어요. 특히 고등학교 시절의 이야기들이 너무 순수하고 예뻐서 예상치 못한 갑툭튀 설레임이었어요 ㅎㅎ 악역들이 개차반이라 해결되고도 불안한게 똥싸고 물 안내린 느낌이랄까... 그냥 둘이 해외 나가서 살았음 좋겠어요 ㅠㅠ
1	좀 아쉽긴한데 그래도 재밌었어요 나름? 내용이 살짝 빠진듯한느낌이잇지만 볼만해여 그리고 내용중에 내가 서있을수있는곳중 이상하지않은곳이 횡단보도란 말이 참 아프게 다가오네요 ㅠㅠㅠㅠㅠㅠ읽어보시면 이해되실듯 3.7 드림 별점 !
0	재밌는데 약간 아쉬웠어요.
1	작가님책은다재미있어요~
1	재밌어요! 다만 단권이라 짧아서 아쉬워요 ㅠㅠ 둘의 알콩달콩한 면모를 좀 더 봤으면 하는 마음,, 그래도 잘봤습니다!
1	재미있어요.. 둘의 과거의 개연성과 감정의 흐름들도.. 너무 좋았어요
1	어머 완전 제취향이네요ㅋㅋㅋㅋ 남주 으른섹시.... 상처남이랑 상처녀가 서로 도와서 복수도 금방하고 쌍방 삽질도 금방 풀리고 진짜 재밌게봤어요
1	먼말이필요할까?그냥재밉다
1	대박!!왜 이걸 이제야 보다니..
1	믿고보는 서혜은님!  최고입니다!!
1	잔잔하니 아련한 느낌도 드네요
0	재미있어요...근데.. 뭔지 모를 아쉬움이 조금 남아요...
1	재밌어요~~~~~할인해서  잘 봤습니다
1	처음부터 예상 가능한 결말이었지만 담담히풀어내는 스타일이 작가님 매력이니까 ..잘봤습니다
1	저는 이번작품 너무 좋았어요! 작가님작품은 믿고 봅니다
0	그냥 그랬음 무난하게 흘러감 다시 보고 싶다 이런 생각은 안 들었다
0	음.... 그냥그냥 나쁘진 않아요
0	작가보고 샀는데 노잼
1	재미있게 읽었어요 두사람의 행복이 앞으로도 쭉 이어지겠죠? 형은 7년이 지나서 풀려나도 더더 불행하게 지내면 좋겠네요.홍씨네 집안 사람들도
1	두사람이 행복한 시간이 조금 짧네요 외전으로 보고싶어여
1	전 3.8점 정도요.왠지 남주의 감정이 그렇게 절절하게 느껴지진 않았고,둘의 알콩달콩 부분이 넘 짧아요.오해도 후반부에 와서 풀리고..어쨌든,남주는 절대 나쁜남자 아니예요
1	와..진짜 주인공들 주변 사람들 암유발자들인데 너무 재미있네요.ㅠㅠ
1	괜찮았어요 상처가 있는 주인공들..
1	괜찮았어요..중간 중간 울컥 했네요 ..
1	잼있어요 기대없이 봤는데 기대이상이네요 괜찮았어요
0	재미가 아주 없는것은 아닌데 2프로 부족한 느낌 읽으면서 남녀 주인공들에게 감정이입이 안되더라고요.
1	뭔가 좀 아쉽다는 느낌이 드네요
1	좋아요 추천합니다~
1	큰 기대 안했는데 재밌게 읽었어요 흔한 소재기는한데 지루하지 않게 흘러가네요
0	나름 볼만했습니다.
1	작가님 책중에 이 남녀 주인공들이 제일 매력적인거같아요. 재미있게 잘 읽었습니다!!
-1	그저 그래요......
1	전혀 나쁘지 않은데 제목은...
-1	작가님 다른글이랑 너무 비슷해서 지루해요. 내용도 뻔하고....ㅠㅠ 헤어지는이유는 참재밌었는데 말이죠...
0	외전에 홍씨 일가들 비참한 모습이 궁금했는데
-1	보다 말았어요ㅜㅜㅜ
1	홍가네도 세미도 그형도 다죽였어야했는데 . . . . 아~ 나쁜것들. . .  짠하네요
1	설정은 좋았는데...뭔가 중간중간 빠진느낌이 드네요.. 좀 더 내용이 길었어도 좋았을텐데..
0	비슷한 스토리가 아니라 재미있게 봤어요
1	이벤트라 구매합니다.
0	어린시절 서로의 아픔을 딛고 서로에게 최고의 사랑으로치우된 남주♡여주 행복해져 좋아요..재미있게 읽었습니다.....
